key,en,sk
ui.main_menu.start_button.text,Start,Začať
ui.options.button.text,Options,Nastavenia
ui.main_menu.exit_button.text,Quit,Ukončiť
ui.level_select.label.text,Go to Town,Ísť do mesta
ui.level_select.pigeon_icon.tooltip,You,Ty
ui.level_select.hint.text,Click,Klikni
ui.pause.title.text,Paused,Pauza
ui.pause.resume_button.text,Resume,Pokračovať
ui.pause.exit_button.text,Exit to menu,Späť do menu
ui.pause.achievements_label.text,Achievements,Úspechy
ui.pause.warning.text,"There's no save system.
Exiting loses all progress.","Táto hra nemá ukladanie.
Odchodom stratíš všetok postup."
ui.options.title.text,Options,Nastavenia
ui.options.language_label.text,Language,Jazyk
ui.options.language.english,English,Angličtina
ui.options.language.slovak,Slovak,Slovenčina
ui.options.close_button.text,Close,Zavrieť
ui.interaction_hint.label.text,Talk,Hovoriť
dialogue.dialogue_ending.say_1.text,Huh. That was... all of it.,Hm. Tak to bolo... všetko.
dialogue.dialogue_ending.say_2.text,"A [color=#a8554c]prophet[/color], a [color=#a8554c]knight[/color], a [color=#a8554c]ghost whisperer[/color], and a [color=#a8554c]friend[/color]. Not bad for one afternoon.","[color=#a8554c]Prorok[/color], [color=#a8554c]rytier[/color], [color=#a8554c]šepkár s duchmi[/color] a [color=#a8554c]priateľ[/color]. Na jedno popoludnie celkom slušné."
dialogue.dialogue_ending.say_3.text,I don't think there's anything left to uncover here. Just the mud and the memories.,"Nemyslím si, že je tu ešte čo odhaliť. Len blato a spomienky."
dialogue.dialogue_ending.say_4.text,"But hey. If you want to keep waddling around, I'm not stopping you.","Ale hej. Ak sa tu chceš ešte chvíľu kolísať, nebudem ti brániť."
dialogue.dialogue_ending.say_5.text,Thank you for playing. [i]SERIOUSLY[/i]. You're pretty great.,"Ďakujem, že si hral alebo hrala. [i]NAOZAJ[/i]. Si super."
dialogue.dialogue_ending.say_6.text,"Now if you'll excuse me, I think I saw some [color=#a8554c]breadcrumbs[/color] [color=#6b8e5e]by the well[/color].","Teraz ma ospravedlň, myslím, že som [color=#6b8e5e]pri studni[/color] zazrel nejaké [color=#a8554c]omrvinky[/color]."
dialogue.dialogue_intro.say_1.text,"A [color=#6b8e5e]town[/color]. Proper little place too. Press [color=#4c7ea8]E[/color], [color=#4c7ea8]Space[/color], or [color=#4c7ea8]Enter[/color] to keep me talking a moment longer.","[color=#6b8e5e]Mesto[/color]. Celkom poriadne malé miesto. Stlač [color=#4c7ea8]E[/color], [color=#4c7ea8]medzerník[/color] alebo [color=#4c7ea8]Enter[/color], ak ma chceš nechať hovoriť o chvíľu dlhšie."
dialogue.dialogue_intro.say_2.text,"When I stop talking, [color=#4c7ea8]WASD[/color] or the [color=#4c7ea8]arrow keys[/color] make me move.","Keď prestanem hovoriť, pohybujem sa cez [color=#4c7ea8]WASD[/color] alebo [color=#4c7ea8]šípky[/color]."
dialogue.dialogue_intro.say_3.text,"Same buttons talk to the local townfolk, if any seem worth bothering.","Tými istými tlačidlami sa rozprávaš s miestnymi dedinčanmi, ak sa vôbec niekto oplatí otravovať."
dialogue.dialogue_intro.say_4.text,Looks quiet. Muddy too. Promising.,Vyzerá to tu ticho. A blatisto. Sľubné.
dialogue.dialogue_intro.say_5.text,Alright then. Let's see who lives here.,"Dobre teda. Pozrime sa, kto tu žije."
dialogue.dialogue_intro.say_6.text,"And if they have [color=#a8554c]breadcrumbs[/color], even better.","A ak majú [color=#a8554c]omrvinky[/color], tak ešte lepšie."
dialogue.folk_cedric.say_return.text,Pigs are still pigs. Fed 'em already. No news.,Prasce sú stále prasce. Už som ich nakŕmil. Nič nové.
dialogue.folk_cedric.say_greet.text,"What're you doing here? This is a [color=#6b8e5e]pig pen[/color], not a bird bath.","Čo tu robíš? Toto je [color=#6b8e5e]chliev[/color], nie vtáčia kúpeľ."
dialogue.folk_cedric.say_pigeon.text,I was just saying hello to the pigs.,Len som zdravil prasatá.
dialogue.folk_cedric.say_reply.text,Saying hello to the... You can [i]TALK[/i] to 'em?,Zdravil si... Ty sa s nimi vieš [i]ROZPRÁVAŤ[/i]?
dialogue.folk_cedric.say_pigs.text,Good luck with that lot. The big one thinks he's a [color=#a8554c]KING[/color]. The gloomy one mutters about fences. And the wee digger keeps sneaking off toward the [color=#6b8e5e]graveyard[/color].,"Veľa šťastia s tou partiou. Ten veľký si myslí, že je [color=#a8554c]KRÁĽ[/color]. Ten zachmúrený mrmlá o plotoch. A ten malý hrabáč sa stále zakráda smerom ku [color=#6b8e5e]cintorínu[/color]."
dialogue.folk_cedric.say_complaint.text,Ten years slopping those troughs. Not once has any of 'em said thank you.,Desať rokov im lejem do válov. Ani raz mi žiaden z nich nepoďakoval.
dialogue.folk_edmund.say_return.text,"Oh, you again. Still dry, are you? Must be nice having feathers.","Ach, zasa ty. Stále si v suchu? Musí byť fajn mať perie."
dialogue.folk_edmund.say_greet.text,Another mouth to feed. Or beak. Whatever you've got there.,Ďalšie ústa na kŕmenie. Alebo zobák. Čokoľvek to máš.
dialogue.folk_edmund.say_pigeon.text,I'm just passing through.,Len tadiaľto prechádzam.
dialogue.folk_edmund.say_reply.text,That's what everyone says. Then they stay. And then they need [color=#a8554c]clean linens[/color]. And guess who washes them?,"To hovorí každý. Potom zostanú. A potom potrebujú [color=#a8554c]čisté plachty[/color]. A hádaj, kto ich perie?"
dialogue.folk_edmund.say_guess.text,"Me. It's always me. The mud here never dries. I wash a sheet, I turn around, it's filthy again. I think the mud is alive.","Ja. Vždy ja. Blato tu nikdy nevyschne. Operiem plachtu, otočím sa a už je znova špinavá. Myslím, že to blato žije."
dialogue.folk_gilbert.say_return.text,"Nothing new to report. Well, [color=#8a6ca8]Bertram[/color] burned his stew again. But that happens every day.","Nič nové na hlásenie. Teda, [color=#8a6ca8]Bertram[/color] si zase pripálil guláš. Ale to sa deje každý deň."
dialogue.folk_gilbert.say_greet.text,[i]PSST.[/i] You didn't hear this from me. But old [color=#8a6ca8]Agnes[/color]? [color=#6b8e5e]By the well[/color]? She talks to it. [color=#6b8e5e]The well[/color]. Like it's a person.,"[i]PŠT.[/i] Toto odo mňa nemáš. Ale stará [color=#8a6ca8]Agnes[/color]? [color=#6b8e5e]Pri studni[/color]? Rozpráva sa s ňou. So [color=#6b8e5e]studňou[/color]. Akoby to bol človek."
dialogue.folk_gilbert.say_pigeon.text,Maybe [color=#6b8e5e]the well[/color] talks back.,Možno jej [color=#6b8e5e]studňa[/color] odpovedá.
dialogue.folk_gilbert.say_reply.text,[shake rate=30.0 level=20]DON'T EVEN JOKE ABOUT THAT![/shake] This village has enough problems. [color=#8a6ca8]Father Cuthbert[/color] thinks everything is a [color=#a8554c]sign from God[/color]. Even puddles.,"[shake rate=30.0 level=20]ANI O TOM NEŽARTUJ![/shake] Táto dedina má problémov dosť. [color=#8a6ca8]Otec Cuthbert[/color] si myslí, že všetko je [color=#a8554c]znamenie od Boha[/color]. Dokonca aj mláky."
dialogue.folk_gilbert.say_gossip.text,And now there's a talking pigeon walking around. He'll have a field day with this one.,A teraz sa tu ešte premáva hovoriaci holub. Z tohto bude mať hotové hody.
dialogue.folk_hugh.say_return.text,"Hmm? Oh. You again. Sorry, I was... resting my eyes.","Hm? Ach. Zasa ty. Prepáč, ja som si len... odpočíval oči."
dialogue.folk_hugh.say_greet.text,...Oh. A bird. Haven't seen one up close in a while. Or maybe I have. I fall asleep a lot.,...Ach. Vták. Už som nejakého dlho nevidel zblízka. Alebo možno videl. Veľa zaspávam.
dialogue.folk_hugh.say_pigeon.text,Sounds like a good life.,To znie ako dobrý život.
dialogue.folk_hugh.say_reply.text,"It would be, if those [color=#a8554c]church bells[/color] didn't ring every hour. [color=#8a6ca8]Father Cuthbert[/color] loves those bells. The rest of us do not.","Aj by bol, nebyť tých [color=#a8554c]kostolných zvonov[/color], čo zvonia každú hodinu. [color=#8a6ca8]Otec Cuthbert[/color] tie zvony miluje. My ostatní nie."
dialogue.folk_hugh.say_sleep.text,I just want to nap in peace. Is that too much to ask? ...What were we talking about? I dozed off.,Ja si chcem len v pokoji zdriemnuť. Je to až tak veľa? ...O čom sme sa to bavili? Zaspal som.
dialogue.folk_walter.say_return.text,"Still no crows on you, I see. Good. Good. Can't trust birds. No offense.","Stále na sebe nemáš vrany, vidím. Dobre. Dobre. Vtákom sa nedá veriť. Bez urážky."
dialogue.folk_walter.say_greet.text,"Don't step on my turnips! I've been growing those for... well, a long time. I lost count.","Nestúpaj mi na repy! Pestujem ich už... nuž, dlho. Prestal som to rátať."
dialogue.folk_walter.say_pigeon.text,I'm not stepping on anything.,Na nič nestúpam.
dialogue.folk_walter.say_reply.text,Good. [i]GOOD.[/i] The crows already took half of them. And that scarecrow over [color=#6b8e5e]in the field[/color]? [color=#8a6ca8]Cornelius[/color]? Just stands there! Smiling!,"Dobre. [i]DOBRE.[/i] Vrany mi už zožrali polovicu. A ten strašiak [color=#6b8e5e]na poli[/color]? [color=#8a6ca8]Cornelius[/color]? Len tam stojí! A usmieva sa!"
dialogue.folk_walter.say_rant.text,I swear the crows land [i]ON[/i] him sometimes. On purpose. Like they're friends.,"Prisahám, tie vrany naňho občas pristávajú [i]PRIAMO[/i]. Naschvál. Akoby sa kamarátili."
dialogue.ghost_jeff.say_return_short.text,Oh. You again. ...Still not dead.,Ach. Zasa ty. ...Stále nie si mŕtvy.
dialogue.ghost_jeff.say_return.text,"You're back. Bold choice, visiting a [color=#6b8e5e]graveyard[/color] twice.","Si späť. Odvážna voľba, ísť na [color=#6b8e5e]cintorín[/color] druhý raz."
dialogue.ghost_jeff.say_pigeon_back.text,I like the quiet.,Mám rád ticho.
dialogue.ghost_jeff.say_quiet.text,You'll fit right in. It's very quiet here. Except when [color=#8a6ca8]Mildred[/color] is practicing her screaming.,"Sem zapadneš. Je tu veľmi ticho. Teda okrem chvíľ, keď [color=#8a6ca8]Mildred[/color] trénuje svoj krik."
dialogue.ghost_jeff.say_prophet_short.text,Still propheting? Or whatever it is you do.,Stále prorokuješ? Alebo čo to vlastne robíš.
dialogue.ghost_jeff.say_prophet.text,"I hear you're a [color=#a8554c]prophet[/color] now. A [color=#a8554c]prophet[/color] pigeon. Death is full of surprises. Actually, no. It isn't. This is the one surprise.","Počul som, že si teraz [color=#a8554c]prorok[/color]. Holub [color=#a8554c]prorok[/color]. Smrť je plná prekvapení. Teda nie je. Toto je to jediné."
dialogue.ghost_jeff.say_rumor_short.text,[color=#8a6ca8]Mildred[/color] is still going on about the whole 'people know about us' thing.,"[color=#8a6ca8]Mildred[/color] stále ide o tom, že už o nás ľudia vedia."
dialogue.ghost_jeff.say_rumor.text,I heard you're telling people about us. [color=#8a6ca8]Mildred[/color] won't shut up about it. Which is saying something because she never shuts up anyway.,"Počul som, že o nás rozprávaš ľuďom. [color=#8a6ca8]Mildred[/color] o tom nevie prestať hovoriť. A to už niečo znamená, lebo ona nevie prestať hovoriť nikdy."
dialogue.ghost_jeff.say_bye.text,Well. Nice seeing you. That's not something I say often. Or ever.,No. Rád som ťa videl. To nehovorím často. Vlastne nikdy.
dialogue.ghost_jeff.say_intro.text,"Oh. A pigeon. That's... new, I guess. I'm [color=#8a6ca8]Jeff[/color]. I'm dead.","Ach. Holub. To je... nové, asi. Ja som [color=#8a6ca8]Jeff[/color]. Som mŕtvy."
dialogue.ghost_jeff.option_how.label,How did you die?,Ako si zomrel?
dialogue.ghost_jeff.say_pigeon_how.text,So... how did you die? If you don't mind me asking.,"Tak... ako si zomrel? Ak ti nevadí, že sa pýtam."
dialogue.ghost_jeff.say_how_reply.text,Honestly? I forget. It was a long time ago. Might have been the plague. Might have been boredom. Both were going around.,"Úprimne? Nepamätám si. Je to dávno. Možno mor. Možno nuda. Oboje vtedy fičalo."
dialogue.ghost_jeff.option_what.label,What do you do here?,Čo tu robíš?
dialogue.ghost_jeff.say_pigeon_what.text,What do you do here all day? Just... stand around?,Čo tu celý deň robíš? Len... stojíš?
dialogue.ghost_jeff.say_what_reply.text,Stand here. Exist. Watch [color=#8a6ca8]Mildred[/color] try to scare people. That's about it. Death is surprisingly boring.,"Stojím tu. Existujem. Sledujem, ako sa [color=#8a6ca8]Mildred[/color] snaží vystrašiť ľudí. Asi tak. Smrť je prekvapivo nudná."
dialogue.ghost_jeff.say_outro.text,Sounds rough.,To znie dosť zle.
dialogue.ghost_jeff.say_rough.text,It's fine. I wasn't doing much when I was alive either.,"To je v pohode. Ani keď som žil, som toho veľa nerobil."
dialogue.ghost_mildred.say_ending_short.text,I'm a proper [color=#a8554c]ghost[/color] now. The innkeeper still won't come near the [color=#6b8e5e]graveyard[/color]. [i]WONDERFUL.[/i],"Teraz som už ozajstný [color=#a8554c]duch[/color]. Krčmár sa stále neodváži priblížiť ku [color=#6b8e5e]cintorínu[/color]. [i]NÁDHERA.[/i]"
dialogue.ghost_mildred.say_ending_1.text,Wait. Is it true? Someone was actually [i]SCARED[/i]?! Of [i]ME[/i]?!,Počkať. Je to pravda? Niekto sa naozaj [i]ZĽAKOL[/i]?! [i]MŇA[/i]?!
dialogue.ghost_mildred.say_pigeon_yep.text,The innkeeper. He panicked when I told him about you. Completely lost it.,"Krčmár. Keď som mu o tebe povedal, spanikáril. Úplne sa rozsypal."
dialogue.ghost_mildred.say_ending_2.text,[shake rate=30.0 level=20]SOMEONE WAS SCARED OF ME![/shake],[shake rate=30.0 level=20]NIEKTO SA MA ZĽAKOL![/shake]
dialogue.ghost_mildred.say_ending_3.text,"I... I can finally rest in peace. Well, not rest. But exist in peace. With [i]PRIDE[/i].","Ja... konečne môžem odpočívať v pokoji. Teda nie odpočívať. Ale existovať v pokoji. A s [i]HRDOSŤOU[/i]."
dialogue.ghost_mildred.say_pigeon_end.text,"Happy to help, [color=#8a6ca8]Mildred[/color].","Rád som pomohol, [color=#8a6ca8]Mildred[/color]."
dialogue.ghost_mildred.say_jeff_end.text,I'm happy for you. Really. This is my happy face.,Prajem ti to. Naozaj. Toto je moja šťastná tvár.
dialogue.ghost_mildred.say_waiting.text,Have you told anyone about me yet? Anyone scared? Even a little?,Povedal si už o mne niekomu? Niekoho to vystrašilo? Aspoň trošku?
dialogue.ghost_mildred.say_pigeon_working.text,Working on it. Give me some time.,Pracujem na tom. Daj mi chvíľu.
dialogue.ghost_mildred.say_patience.text,I've waited forty years. I can wait a bit longer. ...But please hurry.,"Čakala som štyridsať rokov. Ešte chvíľu vydržím. ...Ale prosím, poponáhľaj sa."
dialogue.ghost_mildred.say_favor.text,Listen... could you do something for me? Tell the [i]LIVING[/i] people about me. Tell them the [color=#6b8e5e]graveyard[/color] is [color=#a8554c]haunted[/color]. I just want one real scare.,"Počuj... mohol by si pre mňa niečo spraviť? Povedz [i]ŽIVÝM[/i] ľuďom o mne. Povedz im, že [color=#6b8e5e]cintorín[/color] je [color=#a8554c]strašidelný[/color]. Chcem len jeden poriadny výkrik."
dialogue.ghost_mildred.option_spread.label,I'll spread the word,Roznesiem to
dialogue.ghost_mildred.say_pigeon_spread.text,Sure. I'll tell people the [color=#6b8e5e]graveyard[/color] is [color=#a8554c]haunted[/color]. Shouldn't be hard.,"Jasné. Poviem ľuďom, že [color=#6b8e5e]cintorín[/color] je [color=#a8554c]strašidelný[/color]. Nemalo by to byť ťažké."
dialogue.ghost_mildred.say_grateful.text,"You would do that?! For [i]ME[/i]?! Oh, you wonderful little bird!","Ty by si to urobil?! Pre [i]MŇA[/i]?! Och, ty nádherný malý vtáčik!"
dialogue.ghost_mildred.option_no.label,That won't work,To nezaberie
dialogue.ghost_mildred.say_pigeon_no.text,I don't think telling people will make them scared. No offense.,"Nemyslím si, že keď im to povieš, tak sa zľaknú. Bez urážky."
dialogue.ghost_mildred.say_sad.text,"None taken. ...A lot taken, actually. But fine.","Bez urážky. ...Vlastne dosť urážky. Ale dobre."
dialogue.ghost_mildred.say_cold.text,Oh. It's you. The one who [i]WASN'T[/i] scared.,"Ach. To si ty. Ten, čo sa [i]NEZĽAKOL[/i]."
dialogue.ghost_mildred.say_pigeon_ghost.text,Still not scared. Sorry.,Stále sa nebojím. Prepáč.
dialogue.ghost_mildred.say_give_up.text,Forty years. Not a single scream. Maybe I'm just not cut out for haunting.,Štyridsať rokov. Ani jeden jediný výkrik. Možno sa na strašenie jednoducho nehodím.
dialogue.ghost_mildred.say_boo.text,[shake rate=30.0 level=20]BOOOOO![/shake] Fear me! I am the [color=#a8554c]terror[/color] of this [color=#6b8e5e]graveyard[/color]!,[shake rate=30.0 level=20]BÚÚÚÚ![/shake] Bojte sa ma! Som [color=#a8554c]postrach[/color] tohto [color=#6b8e5e]cintorína[/color]!
dialogue.ghost_mildred.option_awful.label,That was terrible,To bolo hrozné
dialogue.ghost_mildred.say_pigeon_awful.text,...Was that it? That was really not scary.,...To bolo všetko? To vôbec nebolo strašidelné.
dialogue.ghost_mildred.say_crushed.text,I... forty years. Forty years I've been practicing that. And nothing. Not a single scream.,"Ja... štyridsať rokov. Štyridsať rokov som to trénovala. A nič. Ani jediný výkrik."
dialogue.ghost_mildred.say_pigeon_sorry.text,Sorry. Maybe try jumping out from behind a gravestone next time?,Prepáč. Možno skús nabudúce vyskočiť spoza náhrobku?
dialogue.ghost_mildred.say_tried.text,I [i]HAVE[/i]. They just walk right through me. Literally.,[i]SKÚŠALA SOM.[/i] Len cez mňa vždy prejdú. Doslova.
dialogue.ghost_mildred.option_scream.label,AAAGH!,AAAA!
dialogue.ghost_mildred.say_pigeon_scream.text,[shake rate=30.0 level=20]AAAGH![/shake] A [color=#a8554c]ghost[/color]! Oh no! So scary!,[shake rate=30.0 level=20]AAAA![/shake] [color=#a8554c]Duch[/color]! Och nie! Strašne desivé!
dialogue.ghost_mildred.say_thrilled.text,"Did you hear that, [color=#8a6ca8]Jeff[/color]?! [shake rate=30.0 level=20]SOMEONE SCREAMED![/shake] After [i]FORTY YEARS[/i]!","Počul si to, [color=#8a6ca8]Jeff[/color]?! [shake rate=30.0 level=20]NIEKTO SKRÍKOL![/shake] Po [i]ŠTYRIDSIATICH ROKOCH[/i]!"
dialogue.ghost_mildred.say_jeff_react.text,This is the greatest day of my afterlife!,Toto je najlepší deň môjho posmrtného života!
dialogue.innkeeper_bertram.say_return.text,The pigeon is back! Want a room? I've got a bucket under a table. Very cozy.,"Holub je späť! Chceš izbu? Mám vedro pod stolom. Veľmi útulné."
dialogue.innkeeper_bertram.say_prophet_short.text,Any prophecies about carrots? I really need a carrot day.,Nemáš nejaké proroctvo o mrkve? Ja by som fakt potreboval mrkvový deň.
dialogue.innkeeper_bertram.say_prophet.text,"Wait, you're a [color=#a8554c]PROPHET[/color]? Can you tell me if the stew will be ready by noon? ...It's just water. It's always ready.","Počkať, ty si [color=#a8554c]PROROK[/color]? Vieš mi povedať, či bude guláš hotový do obeda? ...Je to len voda. Tá je hotová stále."
dialogue.innkeeper_bertram.say_pigeon_stew.text,"Yes, [color=#8a6ca8]Bertram[/color]. The water is ready.","Áno, [color=#8a6ca8]Bertram[/color]. Voda je hotová."
